feature,statistic,comparison,n_occupied,n_comparison,proteins_occupied,proteins_comparison,mean_occupied,mean_comparison,estimate,ci_low,ci_high,p,n_boot,family,q
aromatic_within_8a==True,mean_difference,secretory_unannotated,318,2207,233,1098,0.5377358490566038,0.5949252378794744,-0.05718938882287061,-0.1167408771503647,-0.00034057311721442593,0.05,2000,confirmatory,0.07531578947368421
n_rsa,smd,bacterial,318,3231,233,1025,0.43757893081761007,0.3247342618384401,0.5704327966611291,0.4536452711982334,0.6800830607473073,0.0005,2000,diagnostic,0.0017857142857142859
plus1_rsa,smd,bacterial,318,3231,233,1025,0.2220191823899371,0.2276114515629836,-0.026027244878862932,-0.15980719038590446,0.095202074993543,0.658,2000,diagnostic,0.7833333333333333
plus2_rsa,smd,bacterial,318,3231,233,1025,0.31667169811320756,0.27999148870318785,0.16271931192841024,0.03767093312469599,0.28351316343484484,0.006,2000,diagnostic,0.01875
loop_run_length,smd,bacterial,204,1976,157,850,7.504901960784314,6.907894736842105,0.11015399879363794,-0.04954112624038165,0.2650005006344636,0.174,2000,diagnostic,0.271875
n_neighbours_8a,smd,bacterial,318,3231,233,1025,8.757861635220126,9.707520891364902,-0.368646513501497,-0.48303737319299034,-0.253669065899606,0.0005,2000,diagnostic,0.0017857142857142859
nd2_atoms_8a_same_chain,smd,bacterial,316,3208,232,1019,42.44303797468354,58.05860349127182,-0.7306490107118776,-0.8340148956631792,-0.6199807470205094,0.0005,2000,diagnostic,0.0017857142857142859
nd2_residues_8a_same_chain,smd,bacterial,316,3208,232,1019,9.55379746835443,12.881857855361597,-0.7185377700919403,-0.8200289671674377,-0.612331665331741,0.0005,2000,diagnostic,0.0017857142857142859
nd2_atoms_8a_other_chain,smd,bacterial,316,3208,232,1019,1.4525316455696202,2.5364713216957604,-0.1385579830733281,-0.2415391632187734,-0.03384932874056499,0.009,2000,diagnostic,0.024999999999999998
sidechain_neighbour_residues_5a,smd,bacterial,317,3222,232,1023,5.018927444794953,6.026070763500931,-0.5201182502923555,-0.6294980872164228,-0.40997083547943036,0.0005,2000,diagnostic,0.0017857142857142859
neighbour_net_charge_8a,smd,bacterial,318,3231,233,1025,-0.025157232704402517,-0.1293717115444135,0.09278785134071338,-0.01621788215401978,0.19715514665240286,0.098,2000,diagnostic,0.16333333333333336
neighbour_hydrophobic_fraction_8a,smd,bacterial,318,3231,233,1025,0.2831185534591195,0.2537371402042711,0.18061685919466927,0.04233998487635056,0.3130008906019638,0.012,2000,diagnostic,0.03
neighbour_aromatic_fraction_8a,smd,bacterial,318,3231,233,1025,0.08487201257861635,0.08580913030021664,-0.009667704725909953,-0.13172777644291123,0.11771471137345287,0.874,2000,diagnostic,0.895
nearest_aromatic_sidechain_nd2,smd,bacterial,314,3145,231,1010,8.428025477707006,7.633046104928458,0.2607613741775344,0.14160869338555365,0.38455486009085504,0.0005,2000,diagnostic,0.0017857142857142859
uniprot_residues_after_asn,smd,bacterial,318,0,233,0,299.8207547169811,,,,,,2000,diagnostic,
uniprot_residues_after_sequon,smd,bacterial,318,0,233,0,297.8207547169811,,,,,,2000,diagnostic,
distance_to_n_terminus_resolved,smd,bacterial,318,3231,233,1025,149.19811320754718,233.11977715877438,-0.4546849496294143,-0.5762432970012316,-0.3291013947991904,0.0005,2000,diagnostic,0.0017857142857142859
